first_name,last_name,gender,age,registered,orders,spent,job,hobbies,is_married
Joseph,Rice,male,43,5/5/2019,7,568.29,Artist,Playing sports,FALSE
Gary,Moore,male,71,5/20/2020,11,568.92,Artist,Swimming,TRUE
John,Walker,male,44,4/4/2020,11,497.12,Clerk,Painting,FALSE
Eric,Carter,male,38,1/30/2019,17,834.6,Butcher,Playing musical instruments,FALSE
William,Jackson,male,58,7/1/2022,14,151.59,Engineer,Reading,FALSE
Nicole,Jones,female,33,8/7/2021,19,33.17,Unemployed,Running,TRUE
David,Davis,male,59,6/16/2022,9,970.96,Doctor,Playing sports,FALSE
Jason,Montgomery,male,58,11/13/2021,12,676.2,Waitress,Collecting,FALSE
Kent,Weaver,male,61,6/11/2023,1,674.37,Clerk,Hiking,FALSE
Darrell,Dillon,male,50,9/13/2022,12,750.72,Dentist,Watching movies,FALSE
Jacqueline,Wang,female,22,2/8/2023,12,962.47,Housewife,Collecting,FALSE
Jodi,Gonzalez,female,69,6/25/2021,12,68.67,Baker,Photography,FALSE
Omar,Martin,male,28,5/28/2023,3,162.58,Doctor,Gardening,TRUE
Nicole,Lara,female,77,3/3/2023,17,309.81,Janitor,Hiking,TRUE
Jason,Brown,male,63,12/5/2022,13,763.27,Lawyer,Fishing,TRUE
David,Benson,male,61,4/15/2022,17,111.11,Lawyer,Meditation,TRUE
Kimberly,Mora,female,34,5/19/2019,10,208.46,Farmer,Collecting,FALSE
Erik,Macias,male,25,4/18/2020,8,439.53,Accountant,Fishing,FALSE
James,Johnson,male,67,2/17/2019,5,394.95,Security Guard,Watching movies,FALSE
Derek,Peterson,male,36,12/15/2020,2,153.8,Architect,Photography,TRUE
Diane,Henson,female,74,3/21/2020,19,62.52,Butcher,Playing musical instruments,FALSE
Cody,Lyons,male,47,11/25/2019,14,43.17,Baker,Hunting,FALSE
Margaret,Hardy,female,25,7/17/2021,9,455.27,Barber,Other,FALSE
Arthur,Hayes,male,75,4/1/2021,6,749.78,Chef,Sewing,FALSE
Raymond,Taylor,male,36,9/24/2021,6,125.18,Butcher,Playing musical instruments,FALSE
Tina,Moore,female,34,7/15/2020,17,888.53,Chef,Running,FALSE
Kylie,White,female,63,2/3/2020,6,872.18,Janitor,Reading,TRUE
Jonathan,Manning,male,30,1/21/2022,0,178.54,Librarian,Playing sports,FALSE
Angela,Bryant,female,23,9/11/2019,3,525.2,Politician,Cycling,FALSE
Michael,Mann,male,56,8/12/2019,8,12.12,Nurse,Watching movies,FALSE
Craig,Myers,male,42,10/16/2020,3,716.53,Lawyer,Cooking,FALSE
Tiffany,Carter,female,26,7/11/2021,12,967.96,Receptionist,Meditation,FALSE
Erica,Owens,female,22,1/12/2022,7,183.63,Butcher,Collecting,FALSE
Patricia,Parker,female,28,12/7/2022,17,174.16,Doctor,Yoga,TRUE
Brian,Palmer,male,75,1/26/2022,4,77.1,Baker,Reading,FALSE
Melissa,Smith,female,75,9/23/2018,12,17.97,Farmer,Traveling,FALSE
Connor,Adams,male,21,8/28/2021,17,99.95,Pilot,Running,FALSE
Michael,Williams,male,40,12/30/2018,2,808.98,Mechanic,Reading,TRUE
Ruth,Smith,female,50,10/18/2019,16,70.7,Hairdresser,Playing sports,TRUE
Jonathan,Middleton,male,79,10/12/2018,9,882.71,Chef,Playing sports,FALSE
Francis,Velez,male,25,3/5/2021,17,994.92,Unemployed,Collecting,TRUE
Matthew,Velez,male,71,8/18/2020,18,639.09,Accountant,Painting,FALSE
Kim,Shaw,female,39,10/30/2018,1,181.4,Farmer,Watching movies,FALSE
Gary,Jones,male,40,3/20/2020,4,283.19,Artist,Running,TRUE
Nicholas,Clayton,male,25,2/13/2023,10,54.11,Teacher,Camping,FALSE
Anthony,Chavez,male,36,12/19/2019,20,995.44,Pilot,Other,FALSE
Carolyn,Green,female,31,11/5/2020,11,317.63,Scientist,Playing sports,FALSE
Janice,Roman,female,78,3/4/2022,3,426.94,Cashier,Playing video games,FALSE
Erin,Taylor,female,54,6/30/2021,6,792.03,Baker,Other,FALSE
Charles,Garcia,male,24,11/9/2021,2,874.74,Tailor,Playing sports,TRUE
John,Huber,male,51,7/16/2023,4,976.2,Architect,Dancing,TRUE
Haley,Martinez,female,75,9/14/2020,2,657.64,Mechanic,Hunting,FALSE
Adam,Holmes,male,41,9/23/2020,1,636,Scientist,Playing video games,FALSE
Patricia,Jones,female,46,12/9/2021,19,781.11,Chef,Singing,FALSE
Christy,Rodriguez,female,23,11/21/2020,18,744,Receptionist,Hiking,TRUE
Jose,Poole,male,60,9/13/2019,5,69.28,Butcher,Gardening,FALSE
Lacey,Mercado,female,29,7/6/2020,15,800.7,Security Guard,Collecting,FALSE
Danielle,Garcia,female,68,8/10/2022,1,836.41,Janitor,Painting,FALSE
Amanda,Cohen,female,72,7/31/2020,1,911.93,Chef,Drawing,TRUE
Jeremy,Rodriguez,male,28,10/6/2019,4,852.46,Engineer,Fishing,TRUE
Jade,Wall,female,51,8/20/2021,13,997.48,Baker,Writing,FALSE
Janice,Garcia,female,28,6/5/2023,5,180.4,Chef,Collecting,FALSE
Sarah,Greer,female,49,5/15/2020,3,566.58,Carpenter,Other,FALSE
Sandra,Golden,female,42,12/31/2021,2,466.23,Baker,Playing video games,FALSE
David,Fritz,male,47,8/2/2021,13,235.3,Accountant,Camping,FALSE
Hannah,Wu,female,59,4/26/2019,9,106.23,Nurse,Painting,FALSE
Guy,Bennett,male,44,8/24/2020,15,652.44,Student,Writing,TRUE
Regina,Wong,female,64,8/11/2022,18,122.47,Barber,Sewing,FALSE
Desiree,Webster,female,38,6/27/2020,14,678.93,Mechanic,Gardening,FALSE
Juan,Cruz,male,21,11/4/2020,8,545.53,Mechanic,Collecting,TRUE
Michelle,Edwards,female,77,2/13/2021,5,716.44,Doctor,Playing video games,FALSE
Alexander,Griffin,male,76,11/14/2018,3,763.02,Waitress,Fishing,FALSE
Laura,House,female,78,9/11/2019,0,14.71,Barber,Playing musical instruments,FALSE
Brittany,Hanna,female,32,1/5/2023,2,84.56,Doctor,Hiking,FALSE
Allen,Wright,male,49,3/1/2023,9,45.4,Carpenter,Playing sports,TRUE
Ricky,Phillips,male,49,3/21/2020,16,118.18,Waiter,Fishing,FALSE
Adrian,Cross,male,27,10/27/2021,17,615.79,Unemployed,Playing sports,FALSE
Thomas,Wood,male,33,12/19/2021,1,466.65,Clerk,Sewing,FALSE
Jillian,Massey,female,76,3/29/2022,0,959.77,Baker,Dancing,FALSE
Kevin,Watkins,male,53,5/10/2022,0,688,Receptionist,Baking,FALSE
Allison,Sweeney,female,75,10/29/2021,14,299.47,Politician,Dancing,FALSE
Joseph,Hernandez,male,41,5/6/2021,14,682.03,Chef,Watching movies,FALSE
Steven,Little,male,69,9/29/2021,18,371.65,Unemployed,Dancing,TRUE
John,Bennett,male,32,1/31/2023,4,864.18,Politician,Playing musical instruments,FALSE
Michele,Maxwell,female,80,8/18/2019,2,670.75,Polic,Traveling,FALSE
Emily,Thomas,female,74,12/23/2019,13,312.94,Pilot,Cycling,FALSE
Mark,Rogers,male,22,5/4/2022,9,269.44,Artist,Dancing,FALSE
John,Cruz,male,76,7/23/2023,16,430.46,Hairdresser,Collecting,FALSE
David,Yoder,male,79,7/18/2021,18,91.25,Clerk,Traveling,TRUE
James,Reynolds,male,29,1/8/2023,20,807.5,Teacher,Hunting,FALSE
Stephanie,Hicks,female,53,12/15/2019,10,26.95,Student,Gardening,FALSE
Paul,Brown,male,78,10/6/2018,17,110.35,Chef,Yoga,TRUE
Alexandra,Morales,female,73,1/12/2019,19,659.86,Barber,Fishing,FALSE
Krystal,Carroll,female,43,7/30/2023,9,945.92,Athlete,Playing musical instruments,TRUE
Alyssa,Walker,female,35,4/8/2020,11,412.39,Athlete,Writing,TRUE
Eric,Harvey,male,52,6/26/2020,18,9.47,Clerk,Drawing,FALSE
Debbie,Rogers,female,76,9/29/2019,0,903.68,Unkown,Singing,FALSE
Steve,Braun,male,72,11/2/2022,19,872.8,Unkown,Drawing,FALSE
Ryan,Rojas,male,51,1/13/2020,2,179.05,Waitress,Traveling,FALSE
Andrew,Levine,male,67,3/24/2023,18,580.8,Dentist,Playing video games,FALSE
Brian,Olson,male,38,3/25/2019,11,964.46,Lawyer,Sewing,TRUE
Jessica,Welch,female,28,11/12/2021,11,391.21,Polic,Cycling,FALSE
Stephanie,Faulkner,female,18,2/13/2022,5,663.33,Barber,Running,FALSE
Dawn,Johnson,female,77,10/8/2019,2,401.88,Polic,Reading,FALSE
Monique,Wright,female,72,2/5/2021,16,245.8,Engineer,Playing video games,FALSE
Veronica,Stein,female,18,8/25/2018,7,969.71,Chef,Playing video games,FALSE
Breanna,Santos,female,26,4/28/2022,1,40.6,Dentist,Playing musical instruments,FALSE
